~~~~  sas 2017-10-16  ~~~~
Generated on 2018-08-02 13:21:44
Time elapsed: 115.19 s
-1: velocity var 36363.59      width var 7099.50
    velocity mean 15.15      width mean 35.42
326: velocity var 4722.65      width var 3585.78
    velocity mean 566.58      width mean 171.09
327: velocity var 212.48      width var 40.20
    velocity mean 21.60      width mean 8.12
328: velocity var 100.91      width var 1073.33
    velocity mean 33.05      width mean 31.24
329: velocity var 22.65      width var 36.62
    velocity mean 20.68      width mean 8.95
331: velocity var 35.01      width var 95.68
    velocity mean 14.59      width mean 16.41
332: velocity var 8.63      width var 67.01
    velocity mean 18.34      width mean 14.09
333: velocity var 540.75      width var 78.69
    velocity mean 24.42      width mean 22.63
334: velocity var 172.95      width var 58.67
    velocity mean 18.86      width mean 10.65
335: velocity var 71.93      width var 50.51
    velocity mean 13.71      width mean 16.44
336: velocity var 19.24      width var 125.61
    velocity mean 8.41      width mean 9.24
337: velocity var 135.31      width var 547.55
    velocity mean 14.95      width mean 21.61
338: velocity var 75.71      width var 1854.10
    velocity mean 11.52      width mean 46.17
340: velocity var 443.76      width var 156.87
    velocity mean 25.33      width mean 18.12
341: velocity var 36.66      width var 56.08
    velocity mean 13.28      width mean 11.22
342: velocity var 871.17      width var 3558.69
    velocity mean 57.20      width mean 60.64
343: velocity var 2229.37      width var 1512.48
    velocity mean 45.01      width mean 54.84
344: velocity var 55030.29      width var 3360.37
    velocity mean 106.72      width mean 49.56
347: velocity var 309.92      width var 567.07
    velocity mean 28.35      width mean 29.53
348: velocity var 7750.01      width var 5207.60
    velocity mean 49.80      width mean 75.83
352: velocity var 706.73      width var 261.99
    velocity mean 102.95      width mean 21.01
353: velocity var 2500.97      width var 2540.64
    velocity mean 61.60      width mean 99.77
355: velocity var 417.34      width var 166.72
    velocity mean 70.60      width mean 13.68
356: velocity var 751874.32      width var 1309.10
    velocity mean 479.40      width mean 99.31
359: velocity var 36356.96      width var 4478.38
    velocity mean 107.22      width mean 59.63
360: velocity var 597.64      width var 1613.27
    velocity mean 37.20      width mean 86.53
361: velocity var 41203.35      width var 2319.15
    velocity mean 79.36      width mean 37.73
362: velocity var 34894.67      width var 1932.73
    velocity mean 89.38      width mean 68.01
364: velocity var 40395.10      width var 2382.34
    velocity mean 103.02      width mean 52.17
365: velocity var 109.80      width var 575.17
    velocity mean 16.09      width mean 28.98
366: velocity var 64.06      width var 574.34
    velocity mean 27.94      width mean 34.83
367: velocity var 356.27      width var 821.43
    velocity mean 35.90      width mean 37.08
369: velocity var 8.16      width var 337.37
    velocity mean 6.71      width mean 19.12
370: velocity var 58531.85      width var 7463.47
    velocity mean 492.26      width mean 131.25
371: velocity var 14083.82      width var 1913.93
    velocity mean 425.80      width mean 61.74
374: velocity var 13789.36      width var 5397.71
    velocity mean 396.22      width mean 48.32
376: velocity var 2592.46      width var 217.12
    velocity mean 81.89      width mean 31.26
377: velocity var 82706.90      width var 2462.11
    velocity mean 161.70      width mean 61.56
378: velocity var 53.24      width var 185.10
    velocity mean 6.54      width mean 20.78
385: velocity var 435.44      width var 687.08
    velocity mean 28.07      width mean 28.79
387: velocity var 193.64      width var 836.87
    velocity mean 49.93      width mean 31.60
390: velocity var 6253.14      width var 2941.91
    velocity mean 388.60      width mean 88.46
393: velocity var 1694.06      width var 1027.38
    velocity mean 77.36      width mean 31.17
394: velocity var 210.38      width var 712.21
    velocity mean 342.03      width mean 55.32
396: velocity var 101.79      width var 6654.76
    velocity mean 8.88      width mean 52.33
397: velocity var 11.21      width var 43.31
    velocity mean 7.18      width mean 7.43
398: velocity var 533.59      width var 47.34
    velocity mean 33.20      width mean 15.68
399: velocity var 588.50      width var 84.55
    velocity mean 31.26      width mean 23.47
400: velocity var 16.17      width var 288.27
    velocity mean 11.14      width mean 21.21
401: velocity var 33751.73      width var 7713.96
    velocity mean 57.02      width mean 60.46
402: velocity var 743.12      width var 863.25
    velocity mean 31.26      width mean 27.95
403: velocity var 536.49      width var 225.36
    velocity mean 79.58      width mean 20.50
404: velocity var 25543.67      width var 919.22
    velocity mean 59.39      width mean 31.98
405: velocity var 220.99      width var 200.80
    velocity mean 19.46      width mean 15.40
406: velocity var 320.43      width var 910.12
    velocity mean 38.21      width mean 31.66
407: velocity var 799.92      width var 365.35
    velocity mean 73.99      width mean 29.26
408: velocity var 79.85      width var 308.61
    velocity mean 28.52      width mean 21.05
409: velocity var 1340.44      width var 853.87
    velocity mean 73.83      width mean 36.30
410: velocity var 1297.19      width var 400.34
    velocity mean 245.39      width mean 39.19
411: velocity var 1155.88      width var 3064.31
    velocity mean 82.11      width mean 48.75
